url,fid,name,nick,birth_date,height,weight,association,class,locality,country,
/fighter/Eric-Martin-151,151,Eric Martin,,,,,,N/A,,,
/fighter/Leonardo-Morales-111777,111777,Leonardo Morales,Chimmy,12/22/1992,71,137,Gladiadores MMA,N/A,Managua,Nicaragua,
/fighter/Anying-Wang-135315,135315,Anying Wang,Smiley,4/4/1991,72,170,Phuket Top Team,Welterweight,,Mongolia,
/fighter/Randy-Brown-115641,115641,Randy Brown,Rude Boy,7/8/1990,74,171,Budokan Martial Arts Academy,Welterweight,Spanish Town,Jamaica,
/fighter/Dileno-Lopes-29635,29635,Dileno Lopes,,9/26/1987,,135,Nova Uniao Manaus,Bantamweight,"Manacapuru, Amazonas",Brazil,
/fighter/Alvaro-Herrera-44627,44627,Alvaro Herrera,El Chango,5/14/1990,72,170,UAG MMA,Welterweight,"Guadalajara, Jalisco",Mexico,
/fighter/Chris-Indich-42419,42419,Chris Indich,,4/22/1987,70,170,The Arena MMA,Welterweight,"Perth, Western Australia",Australia,
/fighter/Alexander-Torres-172645,172645,Alex Torres,Rolo,,70,145,Octagon MMA Colombia,Featherweight,Bogota,Colombia,
/fighter/Lance-Benoist-59764,59764,Lance Benoist,,8/26/1988,71,170,St. Charles MMA,Welterweight,"St. Louis, Missouri",United States,
/fighter/Daniel-Omielanczuk-54303,54303,Daniel Omielanczuk,,8/31/1982,72,242,Ankos Zapasy,Heavyweight,Warsaw,Poland,
/fighter/Luis-Henrique-Barbosa-de-Oliveira-6608,6608,Luis Henrique Barbosa de Oliveira,KLB,8/21/1993,75,243,Infight,Heavyweight,"Rio de Janeiro, Rio de Janeiro",Brazil,
/fighter/Matt-Arroyo-19456,19456,Matt Arroyo,No Regard,9/10/1982,72,155,,Lightweight,"Cobleskill, New York",United States,
/fighter/Christophe-Leninger-40,40,Christophe Leninger,,7/16/1962,72,200,,Light Heavyweight,"Scottsdale, Arizona",United States,
